Directory	ModuleID	ChipSN	RunNumber	RunType	Date	ConfigNumber	Threshold	Voltage	Triggers	EffRaw	EffSignal	EffCorrected	NoiseFraction	AverageRate	SignalRate	Time	ToTDrop	LowPixels	LowPixelsErr
data/cosmicData/MDBM-17/2013-09-25/cosmic_001357	MDBM-17	2207	1357	Efficiency	2013-09-25	9084	1507	800	86179	0.626231	0.611924	0.594174	0.0485256	97.5569	56.8006	14.7229	0	10270.6	122.18
data/cosmicData/MDBM-17/2013-09-27/cosmic_001380	MDBM-17	2207	1380	Occupancy	2013-09-27	9081	1004	500	632561	0.27892	0.27285	0.267444	0.035824	173.393	45.6153	60.8023	0	1517.75	55.7405
data/cosmicData/MDBM-19/2013-09-26/cosmic_001358	MDBM-19	2205	1358	Efficiency	2013-09-26	9202	1119	500	95636	0.298988	0.288281	0.278196	0.0411317	102.211	28.2534	15.5946	0	10238.2	123.972
data/cosmicData/MDBM-19/2013-09-26/cosmic_001359	MDBM-19	2205	1359	Efficiency	2013-09-26	9202	1119	800	32425	0.645058	0.529653	0.310904	0.537149	102.177	25.0487	5.28903	0	12631.2	133.274
data/cosmicData/MDBM-19/2013-09-26/cosmic_001360	MDBM-19	2205	1360	Occupancy	2013-09-26	9202	1119	500	1458584	0.33054	0.262438	0.198504	0.309822	173.479	31.422	140.131	0	2405.06	61.1801
data/cosmicData/MDBM-19/2013-09-26/cosmic_001361	MDBM-19	2205	1361	Efficiency	2013-09-26	9205	1119	700	94077	0.639582	0.597766	0.544881	0.142009	103.289	52.9748	15.1802	0	9881.58	120.578
data/cosmicData/MDBM-19/2013-09-26/cosmic_001362	MDBM-19	2205	1362	Efficiency	2013-09-26	9206	1521	700	90268	0.581679	0.526565	0.462788	0.172936	102.563	44.6664	14.6687	0	9187.09	128.643
data/cosmicData/MDBM-19/2013-09-26/cosmic_001363	MDBM-19	2205	1363	Efficiency	2013-09-26	9207	1197	700	90081	0.186743	0.184045	0.181523	0.022438	102.416	18.4263	14.6593	0	11111.2	127.444
data/cosmicData/MDBM-19/2013-09-26/cosmic_001364	MDBM-19	2205	1364	Efficiency	2013-09-26	9207	1197	700	90347	0.581536	0.577839	0.572631	0.0148833	102.803	58.5193	14.6473	0	9784.58	120.175
data/cosmicData/MDBM-19/2013-09-28/cosmic_001406	MDBM-19	2205	1406	Occupancy	2013-09-28	9202	1119	500	651754	0.250558	0.235613	0.224667	0.0676535	174.354	38.301	62.3017	0	1935.39	59.925
data/cosmicData/MDBM-20/2013-08-21/cosmic_001100	MDBM-20	2212	1100	Occupancy	2013-08-21	5327	1538	700	9998579	0.00542787	0.00498261	0.00471845	0.0764166	3651.16	16.8021	45.641	0	13946.6	130.637
data/cosmicData/MDBM-22/2013-09-21/cosmic_001295	MDBM-22	2214	1295	Occupancy	2013-09-21	8048	1210	500	303921	0.287759	0.2849	0.281797	0.0163188	176.767	49.539	28.6555	0	-55.4185	67.838
data/cosmicData/MDBM-22/2013-09-22/cosmic_001305	MDBM-22	2214	1305	Efficiency	2013-09-22	8321	1212	500	98400	0.638181	0.634726	0.629646	0.0119122	111.905	70.1826	14.6553	0	9293.58	118.114
data/cosmicData/MDBM-22/2013-09-22/cosmic_001306	MDBM-22	2214	1306	Efficiency	2013-09-22	8321	1212	800	98470	0.7157	0.695836	0.667323	0.0679082	112.019	72.6538	14.6508	0	9048.58	117.073
data/cosmicData/MDBM-22/2013-09-22/cosmic_001307	MDBM-22	2214	1307	Efficiency	2013-09-22	8321	1212	1000	98518	0.828742	0.772772	0.652525	0.268271	112.118	63.3984	14.6449	0	10152.6	115.204
data/cosmicData/MDBM-22/2013-09-22/cosmic_001308	MDBM-22	2214	1308	Occupancy	2013-09-22	8321	1212	500	6174772	0.315693	0.312761	0.309146	0.0209836	184.675	56.547	557.265	0	228.069	31.1448
data/cosmicData/MDBM-22/2013-09-22/cosmic_001309	MDBM-22	2214	1309	Unknown	2013-09-22	8391	0	0	98708	0.785975	0.781426	0.774175	0.020147	112.309	85.9928	14.6483	0	10265.6	111.709
data/cosmicData/MDBM-22/2013-09-25/cosmic_001345	MDBM-22	2214	1345	Occupancy	2013-09-25	8321	1212	500	633990	0.268006	0.265118	0.261714	0.0185445	184.344	47.9666	57.3193	0	1689.17	64.3817
data/cosmicData/MDBM-23/2013-09-21/cosmic_001286	MDBM-23	2201	1286	Efficiency	2013-09-21	7873	1098	500	102660	0.735876	0.732398	0.726128	0.0147231	116.717	84.2248	14.6594	0	9510.62	112.383
data/cosmicData/MDBM-23/2013-09-21/cosmic_001287	MDBM-23	2201	1287	Efficiency	2013-09-21	7873	1098	800	102394	0.771178	0.740981	0.685082	0.12558	116.425	75.4353	14.658	0	9659.62	113.044
data/cosmicData/MDBM-23/2013-09-21/cosmic_001288	MDBM-23	2201	1288	Efficiency	2013-09-21	7873	1098	900	103464	0.9264	0.841491	0.454016	0.648626	116.356	34.4039	14.82	0	9868.62	113.965
data/cosmicData/MDBM-23/2013-09-21/cosmic_001289	MDBM-23	2201	1289	Occupancy	2013-09-21	7873	1098	500	3112383	0.713301	0.486878	0.0466473	0.935317	295.078	9.29276	175.795	0	18.4261	30.3809
data/cosmicData/MDBM-23/2013-09-21/cosmic_001290	MDBM-23	2201	1290	Unknown	2013-09-21	7874	1202	0	178920	0.00125196	0.000519785	-0.0522905	2.25806	10379.7	2.49164e+08	0.287292	0	15004.1	160.807
data/cosmicData/MDBM-23/2013-09-21/cosmic_001291	MDBM-23	2201	1291	Unknown	2013-09-21	7874	1202	0	142255	0.767825	0.757415	0.740214	0.0461641	116.871	84.4332	20.2867	0	10130.4	108.563
data/cosmicData/MDBM-23/2013-09-21/cosmic_001292	MDBM-23	2201	1292	Unknown	2013-09-21	7876	1515	0	4578	0.169725	0.103757	0.0580095	0.524211	14.8911	0.735122	5.12387	0	14921.1	160.549
data/cosmicData/MDBM-23/2013-09-21/cosmic_001293	MDBM-23	2201	1293	Unknown	2013-09-21	7876	1515	0	102106	0.797965	0.752238	0.667376	0.195644	116.192	70.3039	14.6462	0	10152.6	115.204
data/cosmicData/MDBM-23/2013-09-21/cosmic_001294	MDBM-22	2214	1294	Unknown	2013-09-21	8048	1210	0	5208	0.0	0.0	0.0	nan	192.241	0.0	0.451517	0	0.0	161.889
data/cosmicData/MDBM-23/2013-09-22/cosmic_001303	MDBM-23	2201	1303	Occupancy	2013-09-22	8364	1098	500	3510223	0.203743	0.12224	0.0575009	0.600194	975.134	47.6571	59.9955	0	-19.9839	33.4963
data/cosmicData/MDBM-24/2013-09-20/cosmic_001256	MDBM-24	2200	1256	Unknown	2013-09-20	7488	1999	0	249128	0.362312	0.25124	0.15704	0.434631	301.499	42.8259	13.7717	0	1362.16	80.5792
data/cosmicData/MDBM-24/2013-09-20/cosmic_001270	MDBM-24	2200	1270	Efficiency	2013-09-20	7615	1099	500	154814	0.635246	0.630666	0.623664	0.0144107	110.077	68.4214	23.4403	0	9229.62	111.126
data/cosmicData/MDBM-24/2013-09-20/cosmic_001271	MDBM-24	2200	1271	Efficiency	2013-09-20	7618	1099	800	98013	0.848214	0.810831	0.725259	0.202788	111.502	72.0753	14.6504	0	10348.6	112.08
data/cosmicData/MDBM-24/2013-09-20/cosmic_001272	MDBM-24	2200	1272	Efficiency	2013-09-20	7621	1099	1000	80478	0.677937	0.657956	0.612192	0.153935	111.466	62.0501	12.0333	0	10369.6	116.142
data/cosmicData/MDBM-24/2013-09-20/cosmic_001273	MDBM-24	2200	1273	Occupancy	2013-09-20	7615	1099	500	1591143	0.347032	0.323336	0.296607	0.134386	187.038	52.3491	141.784	0	-113.669	26.8328
data/cosmicData/MDBM-24/2013-09-20/cosmic_001274	MDBM-24	2200	1274	Efficiency	2013-09-20	7623	1099	700	28189	0.750151	0.747419	0.741956	0.0148085	81.0707	59.6965	5.79515	0	8931.16	118.583
data/cosmicData/MDBM-24/2013-09-20/cosmic_001275	MDBM-24	2200	1275	Efficiency	2013-09-20	7626	1099	700	98432	0.821613	0.799323	0.755976	0.108212	111.959	79.8076	14.653	0	10132.6	111.113
data/cosmicData/MDBM-24/2013-09-20/cosmic_001276	MDBM-24	2200	1276	Efficiency	2013-09-20	7627	1206	700	97776	0.800585	0.780386	0.743794	0.0887383	111.207	79.0832	14.6538	0	9578.62	112.685
data/cosmicData/MDBM-24/2013-09-20/cosmic_001277	MDBM-24	2200	1277	Efficiency	2013-09-20	7630	1506	700	575095	0.207868	0.205891	0.202942	0.0240189	111.797	22.4651	85.7353	0	9851.39	107.271
data/cosmicData/MDBM-24/2013-09-20/cosmic_001278	MDBM-25	2199	1278	Unknown	2013-09-20	0	0	0	350	0.0685714	0.0542857	0.0285714	0.473684	181.989	5.19969	0.0320532	0	15334.1	161.83
data/cosmicData/MDBM-24/2013-09-22/cosmic_001304	MDBM-24	2200	1304	Occupancy	2013-09-22	8369	1099	500	671708	0.299684	0.296875	0.293384	0.0206556	201.894	58.6991	55.4507	1	-145.593	34.4384
data/cosmicData/MDBM-25/2013-09-20/cosmic_001279	MDBM-25	2199	1279	Unknown	2013-09-20	0	0	0	30237	0.0644905	0.056917	0.0511072	0.106334	183.162	9.31651	2.75138	0	13810.1	157.051
data/cosmicData/MDBM-25/2013-09-20/cosmic_001280	MDBM-25	2199	1280	Efficiency	2013-09-20	7752	1106	500	96768	0.47556	0.472336	0.468279	0.0105017	110.119	51.4672	14.6459	0	9102.09	128.312
